==========================================
SOFTWARE PACKAGE INVENTORY REPORT
==========================================
TimeStamp           : 08-07-2026 19:25:33
Operating System    : Ubuntu 24.04.4 LTS
Package Manager     : apt
Installed Packages  : 2077
Available Updates   : 8

==========================================
INSTALLED PACKAGE LIST
==========================================
accountsservice 23.13.9-2ubuntu6 Installed
acl 2.3.2-1build1.1 Installed
adduser 3.137ubuntu1 Installed
adwaita-icon-theme 46.0-1 Installed
alsa-base 1.0.25+dfsg-0ubuntu7 Installed
alsa-topology-conf 1.2.5.1-2 Installed
alsa-ucm-conf 1.2.10-1ubuntu5.11 Installed
alsa-utils 1.2.9-1ubuntu5 Installed
amd64-microcode 3.20251202.1ubuntu0.24.04.1 Installed
anacron 2.3-39ubuntu2 Installed
ani-cli 4.8-1 Installed
apg 2.2.3.dfsg.1-5build3 Installed
apparmor 4.0.1really4.0.1-0ubuntu0.24.04.7 Installed
apport 2.28.1-0ubuntu3.8 Installed
apport-core-dump-handler 2.28.1-0ubuntu3.8 Installed
apport-gtk 2.28.1-0ubuntu3.8 Installed
apport-symptoms 0.25 Installed
appstream 1.0.2-1build6 Installed
apt 2.8.3 Installed
apt-config-icons 1.0.2-1build6 Installed
apt-config-icons-hidpi 1.0.2-1build6 Installed
apt-transport-https 2.8.3 Installed
apt-utils 2.8.3 Installed
aptdaemon 1.1.1+bzr982-0ubuntu44 Installed
aptdaemon-data 1.1.1+bzr982-0ubuntu44 Installed
aria2 1.37.0+debian-1build3 Installed
aspell 0.60.8.1-1build1 Installed
aspell-en 2020.12.07-0-1 Installed
at-spi2-common 2.52.0-1build1 Installed
at-spi2-core 2.52.0-1build1 Installed
avahi-daemon 0.8-13ubuntu6.2 Installed
baobab 46.0-1build1 Installed
base-files 13ubuntu10.4 Installed
base-passwd 3.6.3build1 Installed
bash 5.2.21-2ubuntu4 Installed
bash-completion 1:2.11-8 Installed
bc 1.07.1-3ubuntu4 Installed
bind9-dnsutils 1:9.18.39-0ubuntu0.24.04.5 Installed
bind9-host 1:9.18.39-0ubuntu0.24.04.5 Installed
bind9-libs:amd64 1:9.18.39-0ubuntu0.24.04.5 Installed
binutils 2.42-4ubuntu2.10 Installed
binutils-common:amd64 2.42-4ubuntu2.10 Installed
binutils-x86-64-linux-gnu 2.42-4ubuntu2.10 Installed
blt 2.5.3+dfsg-7build1 Installed
bluez 5.72-0ubuntu5.5 Installed
bluez-cups 5.72-0ubuntu5.5 Installed
bluez-obexd 5.72-0ubuntu5.5 Installed
bolt 0.9.7-1 Installed
bpfcc-tools 0.29.1+ds-1ubuntu7 Installed
bpftrace 0.20.2-1ubuntu4.3 Installed
brltty 6.6-4ubuntu5 Installed
bsdextrautils 2.39.3-9ubuntu6.5 Installed
bsdutils 1:2.39.3-9ubuntu6.5 Installed
bubblewrap 0.9.0-1ubuntu0.1 Installed
build-essential 12.10ubuntu1 Installed
busybox-initramfs 1:1.36.1-6ubuntu3.1 Installed
busybox-static 1:1.36.1-6ubuntu3.1 Installed
bzip2 1.0.8-5.1build0.1 Installed
ca-certificates 20260601~24.04.1 Installed
ca-certificates-java 20240118 Installed
cloud-guest-utils 0.33-1 Installed
cloud-init 26.1-0ubuntu1~24.04.1 Installed
code 1.127.0-1782814776 Installed
codetantra-sea 4.4.1 Installed
colord 1.4.7-1build2 Installed
colord-data 1.4.7-1build2 Installed
command-not-found 23.04.0 Installed
console-setup 1.226ubuntu1 Installed
console-setup-linux 1.226ubuntu1 Installed
coreutils 9.4-3ubuntu6.2 Installed
cpio 2.15+dfsg-1ubuntu2 Installed
cpp 4:13.2.0-7ubuntu1 Installed
cpp-13 13.3.0-6ubuntu2~24.04.1 Installed
cpp-13-x86-64-linux-gnu 13.3.0-6ubuntu2~24.04.1 Installed
cpp-x86-64-linux-gnu 4:13.2.0-7ubuntu1 Installed
cracklib-runtime 2.9.6-5.1build2 Installed
cron 3.0pl1-184ubuntu2 Installed
cron-daemon-common 3.0pl1-184ubuntu2 Installed
cups 2.4.7-1.2ubuntu7.14 Installed
cups-browsed 2.0.0-0ubuntu10.3 Installed
cups-bsd 2.4.7-1.2ubuntu7.14 Installed
cups-client 2.4.7-1.2ubuntu7.14 Installed
cups-common 2.4.7-1.2ubuntu7.14 Installed
cups-core-drivers 2.4.7-1.2ubuntu7.14 Installed
cups-daemon 2.4.7-1.2ubuntu7.14 Installed
cups-filters 2.0.0-0ubuntu4.1 Installed
cups-filters-core-drivers 2.0.0-0ubuntu4.1 Installed
cups-ipp-utils 2.4.7-1.2ubuntu7.14 Installed
cups-pk-helper 0.2.6-1ubuntu8 Installed
cups-ppdc 2.4.7-1.2ubuntu7.14 Installed
cups-server-common 2.4.7-1.2ubuntu7.14 Installed
curl 8.5.0-2ubuntu10.10 Installed
dash 0.5.12-6ubuntu5 Installed
dbus 1.14.10-4ubuntu4.1 Installed
dbus-bin 1.14.10-4ubuntu4.1 Installed
dbus-daemon 1.14.10-4ubuntu4.1 Installed
dbus-session-bus-common 1.14.10-4ubuntu4.1 Installed
dbus-system-bus-common 1.14.10-4ubuntu4.1 Installed
dbus-user-session 1.14.10-4ubuntu4.1 Installed
dc 1.07.1-3ubuntu4 Installed
dconf-cli 0.40.0-4ubuntu0.1 Installed
dconf-gsettings-backend:amd64 0.40.0-4ubuntu0.1 Installed
dconf-service 0.40.0-4ubuntu0.1 Installed
debconf 1.5.86ubuntu1 Installed
debconf-i18n 1.5.86ubuntu1 Installed
debianutils 5.17build1 Installed
deja-dup 45.2-1build2 Installed
desktop-file-utils 0.27-2build1 Installed
dhcpcd-base 1:10.0.6-1ubuntu3.2 Installed
dictionaries-common 1.29.7 Installed
diffutils 1:3.10-1build1 Installed
dirmngr 2.4.4-2ubuntu17.4 Installed
distro-info 1.7build1 Installed
distro-info-data 0.60ubuntu0.6 Installed
dmidecode 3.5-3ubuntu0.1 Installed
dmsetup 2:1.02.185-3ubuntu3.2 Installed
dmz-cursor-theme 0.4.5ubuntu1 Installed
dns-root-data 2024071801~ubuntu0.24.04.1 Installed
dnsmasq-base 2.90-2ubuntu0.3 Installed
docbook-xml 4.5-12 Installed
dosfstools 4.2-1.1build1 Installed
dpkg 1.22.6ubuntu6.6 Installed
dpkg-dev 1.22.6ubuntu6.6 Installed
dracut-install 060+5-1ubuntu3.3 Installed
duplicity 2.1.4-3ubuntu2 Installed
e2fsprogs 1.47.0-2.4~exp1ubuntu4.1 Installed
e2fsprogs-l10n 1.47.0-2.4~exp1ubuntu4.1 Installed
eatmydata 131-1ubuntu1 Installed
ed 1.20.1-1 Installed
efibootmgr 18-1build2 Installed
eject 2.39.3-9ubuntu6.5 Installed
emacsen-common 3.0.5 Installed
enchant-2 2.3.3-2build2 Installed
eog 45.3-1ubuntu2 Installed
espeak-ng-data:amd64 1.51+dfsg-12build1 Installed
ethtool 1:6.7-1build1 Installed
evince 46.3.1-0ubuntu1.1 Installed
evince-common 46.3.1-0ubuntu1.1 Installed
evolution-data-server 3.52.3-0ubuntu1.2 Installed
evolution-data-server-common 3.52.3-0ubuntu1.2 Installed
fakeroot 1.33-1 Installed
fdisk 2.39.3-9ubuntu6.5 Installed
ffmpeg 7:6.1.1-3ubuntu5 Installed
file 1:5.45-3build1 Installed
file-roller 44.3-0ubuntu2 Installed
findutils 4.9.0-5build1 Installed
firefox 1:1snap1-0ubuntu5 Installed
firmware-sof-signed 2023.12.1-1ubuntu1.11 Installed
fontconfig 2.15.0-1.1ubuntu2 Installed
fontconfig-config 2.15.0-1.1ubuntu2 Installed
fonts-dejavu-core 2.37-8 Installed
fonts-dejavu-extra 2.37-8 Installed
fonts-dejavu-mono 2.37-8 Installed
fonts-droid-fallback 1:6.0.1r16-1.1build1 Installed
fonts-freefont-ttf 20211204+svn4273-2 Installed
fonts-ipafont-gothic 00303-21ubuntu1 Installed
fonts-liberation 1:2.1.5-3 Installed
fonts-liberation-sans-narrow 1:1.07.6-4 Installed
fonts-lyx 2.4.0~RC3-1build4 Installed
fonts-noto-cjk 1:20230817+repack1-3 Installed
fonts-noto-color-emoji 2.047-0ubuntu0.24.04.1 Installed
fonts-noto-core 20201225-2 Installed
fonts-noto-mono 20201225-2 Installed
fonts-opensymbol 4:102.12+LibO24.2.7-0ubuntu0.24.04.5 Installed
fonts-tlwg-loma-otf 1:0.7.3-1 Installed
fonts-ubuntu 0.869+git20240321-0ubuntu1 Installed
fonts-unifont 1:15.1.01-1build1 Installed
fonts-urw-base35 20200910-8 Installed
fonts-wqy-zenhei 0.9.45-8 Installed
foomatic-db-compressed-ppds 20230202-1 Installed
fprintd 1.94.3-1 Installed
friendly-recovery 0.2.42 Installed
ftp 20230507-2build3 Installed
fuse3 3.14.0-5build1 Installed
fwupd 2.0.20-1ubuntu2~24.04.1 Installed
fwupd-signed 1.52+1.4-1 Installed
fzf 0.44.1-1ubuntu0.3 Installed
g++ 4:13.2.0-7ubuntu1 Installed
g++-13 13.3.0-6ubuntu2~24.04.1 Installed
g++-13-x86-64-linux-gnu 13.3.0-6ubuntu2~24.04.1 Installed
g++-x86-64-linux-gnu 4:13.2.0-7ubuntu1 Installed
gamemode 1.8.1-2build1 Installed
gamemode-daemon 1.8.1-2build1 Installed
gawk 1:5.2.1-2build3 Installed
gcc 4:13.2.0-7ubuntu1 Installed
gcc-13 13.3.0-6ubuntu2~24.04.1 Installed
gcc-13-base:amd64 13.3.0-6ubuntu2~24.04.1 Installed
gcc-13-x86-64-linux-gnu 13.3.0-6ubuntu2~24.04.1 Installed
gcc-14-base:amd64 14.2.0-4ubuntu2~24.04.1 Installed
gcc-14-base:i386 14.2.0-4ubuntu2~24.04.1 Installed
gcc-x86-64-linux-gnu 4:13.2.0-7ubuntu1 Installed
gcr 3.41.2-1build3 Installed
gcr4 4.2.0-5 Installed
gdb 15.1-1ubuntu1~24.04.1 Installed
gdisk 1.0.10-1build1 Installed
gdm3 46.2-1ubuntu1~24.04.9 Installed
geoclue-2.0 2.7.0-3ubuntu7 Installed
geocode-glib-common 3.26.3-6build3 Installed
gettext-base 0.21-14ubuntu2 Installed
ghostscript 10.02.1~dfsg1-0ubuntu7.8 Installed
gir1.2-accountsservice-1.0:amd64 23.13.9-2ubuntu6 Installed
gir1.2-adw-1:amd64 1.5.0-1ubuntu2 Installed
gir1.2-atk-1.0:amd64 2.52.0-1build1 Installed
gir1.2-atspi-2.0:amd64 2.52.0-1build1 Installed
gir1.2-ayatanaappindicator3-0.1 0.5.93-1build3 Installed
gir1.2-dbusmenu-glib-0.4:amd64 18.10.20180917~bzr492+repack1-3.1ubuntu5 Installed
gir1.2-dee-1.0:amd64 1.2.7+17.10.20170616-7build5 Installed
gir1.2-freedesktop:amd64 1.80.1-1 Installed
gir1.2-gck-2:amd64 4.2.0-5 Installed
gir1.2-gcr-4:amd64 4.2.0-5 Installed
gir1.2-gdesktopenums-3.0:amd64 46.1-0ubuntu1 Installed
gir1.2-gdkpixbuf-2.0:amd64 2.42.10+dfsg-3ubuntu3.3 Installed
gir1.2-gdm-1.0 46.2-1ubuntu1~24.04.9 Installed
gir1.2-geoclue-2.0:amd64 2.7.0-3ubuntu7 Installed
gir1.2-girepository-2.0:amd64 1.80.1-1 Installed
gir1.2-glib-2.0:amd64 2.80.0-6ubuntu3.8 Installed
gir1.2-gmenu-3.0:amd64 3.36.0-1.1ubuntu3 Installed
gir1.2-gnomeautoar-0.1:amd64 0.4.4-2build4 Installed
gir1.2-gnomebg-4.0:amd64 44.0-5build2 Installed
gir1.2-gnomebluetooth-3.0:amd64 46.0-1ubuntu1 Installed
gir1.2-gnomedesktop-3.0:amd64 44.0-5build2 Installed
gir1.2-gnomedesktop-4.0:amd64 44.0-5build2 Installed
gir1.2-graphene-1.0:amd64 1.10.8-3build2 Installed
gir1.2-gst-plugins-base-1.0:amd64 1.24.2-1ubuntu0.4 Installed
gir1.2-gstreamer-1.0:amd64 1.24.2-1ubuntu0.1 Installed
gir1.2-gtk-3.0:amd64 3.24.41-4ubuntu1.3 Installed
gir1.2-gtk-4.0:amd64 4.14.5+ds-0ubuntu0.10 Installed
gir1.2-gudev-1.0:amd64 1:238-5ubuntu1 Installed
gir1.2-gweather-4.0:amd64 4.4.2-1build1 Installed
gir1.2-handy-1:amd64 1.8.3-1build2 Installed
gir1.2-harfbuzz-0.0:amd64 8.3.0-2build2 Installed
gir1.2-ibus-1.0:amd64 1.5.29-2 Installed
gir1.2-javascriptcoregtk-4.1:amd64 2.52.3-0ubuntu0.24.04.1 Installed
gir1.2-javascriptcoregtk-6.0:amd64 2.52.3-0ubuntu0.24.04.1 Installed
gir1.2-mutter-14:amd64 46.2-1ubuntu0.24.04.15 Installed
gir1.2-nm-1.0:amd64 1.46.0-1ubuntu2.7 Installed
